IP,Log_Line
127.0.0.1,2025-06-20T03:00:54.025463-04:00 kali sshd-session[7710]: Failed password for root from 127.0.0.1 port 49468 ssh2
127.0.0.1,2025-06-20T03:00:54.045842-04:00 kali sshd-session[7883]: Failed password for kali from 127.0.0.1 port 54468 ssh2
127.0.0.1,2025-06-20T03:00:54.113922-04:00 kali sshd-session[7691]: Failed password for root from 127.0.0.1 port 49368 ssh2
127.0.0.1,2025-06-20T03:00:54.174062-04:00 kali sshd-session[7699]: Failed password for root from 127.0.0.1 port 49424 ssh2
127.0.0.1,2025-06-20T03:00:54.293338-04:00 kali sshd-session[7705]: Failed password for root from 127.0.0.1 port 49444 ssh2
127.0.0.1,2025-06-20T03:00:54.353393-04:00 kali sshd-session[7723]: Failed password for root from 127.0.0.1 port 49508 ssh2
127.0.0.1,2025-06-20T03:00:54.385209-04:00 kali sshd-session[7873]: Failed password for kali from 127.0.0.1 port 54458 ssh2
127.0.0.1,2025-06-20T03:00:54.427880-04:00 kali sshd-session[7900]: Failed password for kali from 127.0.0.1 port 54520 ssh2
127.0.0.1,2025-06-20T03:00:54.485748-04:00 kali sshd-session[7715]: Failed password for root from 127.0.0.1 port 49478 ssh2
127.0.0.1,2025-06-20T03:00:54.489552-04:00 kali sshd-session[7903]: Failed password for kali from 127.0.0.1 port 54528 ssh2
127.0.0.1,2025-06-20T03:00:54.552340-04:00 kali sshd-session[7718]: Failed password for root from 127.0.0.1 port 49488 ssh2
127.0.0.1,2025-06-20T03:00:54.597347-04:00 kali sshd-session[7884]: Failed password for kali from 127.0.0.1 port 54482 ssh2
127.0.0.1,2025-06-20T03:00:54.696412-04:00 kali sshd-session[7696]: Failed password for root from 127.0.0.1 port 49396 ssh2
127.0.0.1,2025-06-20T03:00:54.802007-04:00 kali sshd-session[7690]: Failed password for root from 127.0.0.1 port 49352 ssh2
127.0.0.1,2025-06-20T03:00:54.974245-04:00 kali sshd-session[7693]: Failed password for root from 127.0.0.1 port 49382 ssh2
127.0.0.1,2025-06-20T03:00:54.986734-04:00 kali sshd-session[7692]: Failed password for root from 127.0.0.1 port 49380 ssh2
127.0.0.1,2025-06-20T03:00:55.145121-04:00 kali sshd-session[7905]: Failed password for kali from 127.0.0.1 port 54534 ssh2
127.0.0.1,2025-06-20T03:00:55.379336-04:00 kali sshd-session[7895]: Failed password for kali from 127.0.0.1 port 54486 ssh2
127.0.0.1,2025-06-20T03:00:55.547064-04:00 kali sshd-session[7697]: Failed password for root from 127.0.0.1 port 49412 ssh2
127.0.0.1,2025-06-20T03:00:55.937404-04:00 kali sshd-session[7710]: Failed password for root from 127.0.0.1 port 49468 ssh2
127.0.0.1,2025-06-20T03:00:55.970669-04:00 kali sshd-session[7702]: Failed password for root from 127.0.0.1 port 49432 ssh2
127.0.0.1,2025-06-20T03:00:56.046642-04:00 kali sshd-session[7897]: Failed password for kali from 127.0.0.1 port 54500 ssh2
127.0.0.1,2025-06-20T03:00:56.112886-04:00 kali sshd-session[7705]: Failed password for root from 127.0.0.1 port 49444 ssh2
127.0.0.1,2025-06-20T03:00:56.156901-04:00 kali sshd-session[7870]: Failed password for kali from 127.0.0.1 port 54432 ssh2
127.0.0.1,2025-06-20T03:00:56.398485-04:00 kali sshd-session[7706]: Failed password for root from 127.0.0.1 port 49456 ssh2
127.0.0.1,2025-06-20T03:00:56.510643-04:00 kali sshd-session[7715]: Failed password for root from 127.0.0.1 port 49478 ssh2
127.0.0.1,2025-06-20T03:00:57.084000-04:00 kali sshd-session[7696]: Failed password for root from 127.0.0.1 port 49396 ssh2
127.0.0.1,2025-06-20T03:00:57.274241-04:00 kali sshd-session[7691]: Failed password for root from 127.0.0.1 port 49368 ssh2
127.0.0.1,2025-06-20T03:00:57.275623-04:00 kali sshd-session[7883]: Failed password for kali from 127.0.0.1 port 54468 ssh2
127.0.0.1,2025-06-20T03:00:57.276369-04:00 kali sshd-session[7868]: Failed password for kali from 127.0.0.1 port 54428 ssh2
127.0.0.1,2025-06-20T03:00:57.305697-04:00 kali sshd-session[7690]: Failed password for root from 127.0.0.1 port 49352 ssh2
127.0.0.1,2025-06-20T03:00:57.400163-04:00 kali sshd-session[7693]: Failed password for root from 127.0.0.1 port 49382 ssh2
127.0.0.1,2025-06-20T03:00:57.796018-04:00 kali sshd-session[7873]: Failed password for kali from 127.0.0.1 port 54458 ssh2
127.0.0.1,2025-06-20T03:00:58.036013-04:00 kali sshd-session[7697]: Failed password for root from 127.0.0.1 port 49412 ssh2
127.0.0.1,2025-06-20T03:00:58.231838-04:00 kali sshd-session[7692]: Failed password for root from 127.0.0.1 port 49380 ssh2
127.0.0.1,2025-06-20T03:00:58.306734-04:00 kali sshd-session[7884]: Failed password for kali from 127.0.0.1 port 54482 ssh2
127.0.0.1,2025-06-20T03:00:58.336998-04:00 kali sshd-session[7900]: Failed password for kali from 127.0.0.1 port 54520 ssh2
127.0.0.1,2025-06-20T03:00:58.372841-04:00 kali sshd-session[7905]: Failed password for kali from 127.0.0.1 port 54534 ssh2
127.0.0.1,2025-06-20T03:00:58.457938-04:00 kali sshd-session[7699]: Failed password for root from 127.0.0.1 port 49424 ssh2
127.0.0.1,2025-06-20T03:00:59.153900-04:00 kali sshd-session[7706]: Failed password for root from 127.0.0.1 port 49456 ssh2
